gene,log2FC,meanA,meanB,pval,-log10p,qval,sig_type,score
CD28,3.2086213,1.3440096,0.14538127,2.1953646285149242e-57,56.658493337380605,7.526964440622597e-56,up,181.79564648042071
IL7R,2.6474283,2.1462939,0.34255695,2.1898566481240807e-69,68.65958431391165,7.72890581690852e-68,up,181.7713248043557
SELL,2.3639674,2.596132,0.5043139,3.5625731879285953e-76,75.44823620493794,1.5268170805408264e-74,up,178.35717218464094
FCRLA,-2.2131271,0.5747374,2.6649418,3.2536234105695324e-75,74.48763271574344,1.301449364227813e-73,down,164.85060127678025
CD6,2.1560345,2.690016,0.6035639,1.4706443107273226e-75,74.83249235281113,6.085424734044094e-74,up,161.34143295907535
CD3E,2.1643977,2.3813086,0.5312102,2.444744075233143e-72,71.61176659769842,9.167790282124286e-71,up,154.9963441001804
CD4,2.2211528,2.6132739,0.56046784,2.981235750228028e-70,69.52560367946054,1.0840857273556465e-68,up,154.4269880634674
BANK1,-1.9231701,0.8233246,3.1225066,1.2653411507789456e-79,78.89779236782715,1.5184093809347347e-76,down,151.7338744268766
CD37,-1.9620773,0.7525666,2.932172,2.655577894185712e-77,76.57584095520554,1.2746773892091416e-75,down,150.2477162049175
MZB1,-1.9027065,0.84706384,3.167293,3.730946633529281e-77,76.42818096294778,1.7219753693212064e-75,down,145.42039699700908
MS4A1,-1.9961376,0.6890942,2.7490103,5.217963664993374e-73,72.2824989494113,2.0198569025780803e-71,down,144.28581534958906
TRBC1,1.8357162,3.2835095,0.9198823,2.0510292240945175e-78,77.68802815154164,1.0255146120472589e-76,up,142.61317551857442
PAX5,-1.793599,0.9313014,3.2286258,1.7777207946620932e-79,78.75013644744865,7.110883178648373e-77,down,141.24616673122483
CD79B,-1.6395912,1.0914468,3.4007049,1.680876437165744e-79,78.77446421078982,1.0085258622994464e-76,down,129.1579196471228
TRBC2,1.5709457,3.6443663,1.2266482,2.618245785067248e-79,78.5819895869342,1.3660412791655208e-77,up,123.44804176236619
CD79A,-1.5578964,1.220688,3.5940032,1.9263845265164923e-79,78.71525701883355,5.779153579549477e-77,down,122.63021361848138
BLK,-1.580013,1.1286495,3.3743541,4.923586413999581e-77,76.30771843536331,2.1882606284442584e-75,down,120.56718993083635
ZAP70,1.5202175,3.765805,1.3128846,1.971716471301428e-79,78.70515553554192,4.732119531123427e-77,up,119.64895776669957
TRAC,1.4316195,3.808719,1.4119468,2.1624756471819834e-79,78.66504877466271,1.6218567353864875e-77,up,112.61841975740349
CCR7,1.3833247,4.130841,1.5834926,2.077729006689004e-79,78.68241109709373,2.26661346184255e-77,up,108.84332605578317
CD3D,1.3236021,4.009163,1.6018049,2.1308091046303886e-79,78.67145545620751,1.7046472837043107e-77,up,104.12970210561737
IGHD,-1.2641124,1.6871485,4.052184,2.0427157987614608e-79,78.68979205217097,4.085431597522922e-77,down,99.47273821371608
CD74,-1.26459,1.6989564,4.081896,2.3026221584928436e-79,78.63777732037018,1.3815732950957061e-77,down,99.44454878343164
HLA-DRA,-1.246617,1.7514414,4.1558976,2.1893694236238496e-79,78.65968095149523,1.5454372402050704e-77,down,98.05849230864384
CD8B,1.233046,4.215906,1.7935231,2.3453037916729927e-79,78.62980089431267,1.3401735952417101e-77,up,96.95416578559384
IGHM,-1.2126929,1.8231927,4.225612,2.0621834759872905e-79,78.68567269741138,3.0932752139809358e-77,down,95.42155321175932
TCL1A,-1.1959699,1.9228673,4.4052672,2.0474080064786798e-79,78.68879560271833,3.509842296820594e-77,down,94.10943409521228
CD3G,1.1271424,4.556404,2.0860198,2.0755591512024006e-79,78.68286488518368,2.767412201603201e-77,up,88.68679547504588
FYN,1.1215388,4.6068335,2.1173155,2.2342802183961548e-79,78.65086235956805,1.4111243484607295e-77,up,88.20999050823544
CD2,1.0778546,4.816501,2.281734,2.0755591512024006e-79,78.68286488518368,2.4906709814428807e-77,up,84.80869048027579
LCK,1.0579861,4.686836,2.2510965,2.2124431151473506e-79,78.65512788677486,1.4749620767649004e-77,up,83.2160351638903
CD19,-1.0149355,2.2773557,4.60211,2.5717806408311848e-79,78.58976607717057,1.4027894404533736e-77,down,79.76354301516511
CD8A,0.9682568,5.063052,2.5878434,2.078735815396644e-79,78.68220070124373,2.078735815396644e-77,up,76.184573630575
CD22,-0.88824266,2.747707,5.085787,2.0789629038549205e-79,78.6821532599686,1.9190426804814653e-77,down,69.88884525982625
HLA-DPB1,-0.70483196,3.815053,6.2183647,2.0789629038549205e-79,78.6821532599686,1.7819682033042177e-77,down,55.457696127487026
BGENE_315,-0.52333045,0.26398215,0.37941387,0.0015467361817942534,2.8105837551833854,0.05016441670684065,ns,1.4708640615257782
