cluster,names,scores,logfoldchanges,pvals,pvals_adj
0,ITGAX,25.382671,3.692694,3.918382739751323e-142,6.898968088670275e-140
0,CD1C,25.38204,3.6905103,3.981678887344969e-142,6.898968088670275e-140
0,FCER1A,25.38078,4.054946,4.111350195435441e-142,6.898968088670275e-140
0,CLEC9A,25.380623,3.5952518,4.127852800182302e-142,6.898968088670275e-140
0,CADM1,25.379204,3.7854402,4.2793844003285074e-142,6.898968088670275e-140
0,HLA-DQB1,25.378416,3.8051414,4.3659555487841944e-142,6.898968088670275e-140
0,GPR183,25.37684,3.7687154,4.544378778013244e-142,6.898968088670275e-140
0,CD83,25.376368,3.6905227,4.599312059113517e-142,6.898968088670275e-140
0,LAMP3,25.367859,4.016109,5.709613049857415e-142,7.612817399809886e-140
0,BATF3,25.190178,3.8696933,5.132387087593641e-140,6.15886450511237e-138
1,CD14,25.382671,3.540285,3.918382739751323e-142,5.388120728677058e-140
1,FCN1,25.38204,3.9328585,3.981678887344969e-142,5.388120728677058e-140
1,MSR1,25.381725,3.8232124,4.013708761639772e-142,5.388120728677058e-140
1,S100A8,25.38141,3.6431417,4.045995893000123e-142,5.388120728677058e-140
1,CTSS,25.380938,3.6259582,4.094913464363483e-142,5.388120728677058e-140
1,VCAN,25.380465,3.6243432,4.144421542195512e-142,5.388120728677058e-140
1,SERPINA1,25.38015,3.946867,4.177758497658146e-142,5.388120728677058e-140
1,ITGAM,25.379204,3.7337961,4.2793844003285074e-142,5.388120728677058e-140
1,S100A9,25.378574,3.677223,4.348502550555895e-142,5.388120728677058e-140
1,C1QA,25.377314,3.7323015,4.4901006072308815e-142,5.388120728677058e-140
2,SPON2,25.069025,3.7092147,1.08299824456208e-138,2.8270823765605112e-136
2,GZMH,25.068707,3.5719533,1.0917105539588091e-138,2.8270823765605112e-136
2,KLRB1,25.067749,3.6399536,1.1182695831233273e-138,2.8270823765605112e-136
2,ZEB2,25.067429,3.773114,1.1272651785959448e-138,2.8270823765605112e-136
2,NKG7,25.065037,3.7214046,1.1970754676926578e-138,2.8270823765605112e-136
2,CD160,25.054026,3.9694402,1.5780783405279224e-138,2.8270823765605112e-136
2,CX3CR1,25.05227,3.9394145,1.649131386326965e-138,2.8270823765605112e-136
2,KLRF1,25.037273,4.0780673,2.402409911002933e-138,3.603614866504399e-136
2,KLRD1,24.875006,4.025855,1.387304099024047e-136,1.8497387986987293e-134
2,GZMB,24.710663,3.9530408,8.214410013781635e-135,9.857292016537961e-133
3,FPR1,25.029902,3.771443,2.8900980422671634e-138,5.2542204866873265e-136
3,FCGR2A,25.029263,3.9440815,2.93678568902134e-138,5.2542204866873265e-136
3,CEACAM8,25.028303,3.8054385,3.008232798600228e-138,5.2542204866873265e-136
3,FCGR3B,25.027985,3.8599787,3.032432080140523e-138,5.2542204866873265e-136
3,G0S2,25.027025,3.773309,3.106202305509828e-138,5.2542204866873265e-136
3,ARG1,25.026707,4.0063806,3.1311884107359043e-138,5.2542204866873265e-136
3,CXCL8,25.02239,3.989354,3.4888124093362435e-138,5.2542204866873265e-136
3,S100P,25.022232,3.8623888,3.502813657791551e-138,5.2542204866873265e-136
3,CD177,25.01552,4.097196,4.144408026169789e-138,5.525877368226385e-136
3,PGLYRP1,24.844444,4.0091977,2.9693295739912856e-136,3.563195488789543e-134
4,CD2,24.747364,3.6847599,3.30967834689014e-135,5.725325718984378e-133
4,CD8A,24.747202,3.680543,3.322965075785451e-135,5.725325718984378e-133
4,CD3G,24.745424,3.6780624,3.472681071456129e-135,5.725325718984378e-133
4,FYN,24.743322,3.7043443,3.6583234107162877e-135,5.725325718984378e-133
4,LCK,24.741222,3.6061218,3.853872817177477e-135,5.725325718984378e-133
4,ZAP70,24.74106,3.9307897,3.869340383834575e-135,5.725325718984378e-133
4,TRAC,24.740736,3.7859502,3.900461698916711e-135,5.725325718984378e-133
4,CD3D,24.739605,3.7779555,4.011367452468912e-135,5.725325718984378e-133
4,CD8B,24.736856,3.7166152,4.2939942892382834e-135,5.725325718984378e-133
4,TRBC2,24.730877,3.9410467,4.979735092588609e-135,5.975682111106331e-133
5,CD22,24.246237,3.4892573,7.245028043979818e-130,1.0051110750030924e-127
5,TCL1A,24.246073,3.727345,7.274115223356267e-130,1.0051110750030924e-127
5,HLA-DPB1,24.245743,3.4771543,7.332639788964609e-130,1.0051110750030924e-127
5,IGHM,24.244587,3.5891962,7.541202310980733e-130,1.0051110750030924e-127
5,HLA-DRA,24.242937,3.7170074,7.849462753455995e-130,1.0051110750030924e-127
5,CD79B,24.240463,3.8678463,8.33559743160687e-130,1.0051110750030924e-127
5,PAX5,24.239803,3.966312,8.470234425820821e-130,1.0051110750030924e-127
5,CD74,24.238647,3.616751,8.711093946484709e-130,1.0051110750030924e-127
5,IGHD,24.238483,3.7151124,8.746056123934384e-130,1.0051110750030924e-127
5,CD79A,24.237988,3.8726606,8.851785397307952e-130,1.0051110750030924e-127
