,n_counts,n_genes,pct_counts_mito,cell_type
cell_00000,20898,1086,8.722939904852712,T cells
cell_00001,8729,906,9.306950768858737,T cells
cell_00002,17767,1044,11.023782211701691,T cells
cell_00003,18052,1065,9.582955909734293,T cells
cell_00004,10726,936,11.429164277795856,T cells
cell_00005,19136,1082,12.730944331275019,T cells
cell_00006,9139,934,9.67418054161623,T cells
cell_00007,17353,1041,7.155083405161671,T cells
cell_00008,9270,923,9.892416239287002,T cells
cell_00009,11985,974,12.863217517345102,T cells
cell_00010,11198,966,7.338265686254886,T cells
cell_00011,14683,1026,10.092391041389515,T cells
cell_00012,11300,967,27.410224888159508,T cells
cell_00013,12192,965,50.63127519219604,T cells
cell_00014,18396,1077,9.199810004912901,T cells
cell_00015,10352,956,8.460247314752356,T cells
cell_00016,10099,964,7.246722591154682,T cells
cell_00017,15320,1019,7.099996489196378,T cells
cell_00018,9893,922,9.9409360321554,T cells
cell_00019,16047,1040,9.83133228261422,T cells
cell_00020,15978,1025,9.817187214663004,T cells
cell_00021,13349,1015,7.374509828541225,T cells
cell_00022,13491,1020,11.283674176863029,T cells
cell_00023,13607,1003,6.588816912362722,T cells
cell_00024,20140,1070,10.523570051519119,T cells
cell_00025,9047,921,9.418768906596506,T cells
cell_00026,11011,976,6.151566123332524,T cells
cell_00027,10943,959,10.968570787208156,T cells
cell_00028,18466,1070,8.843206797910755,T cells
cell_00029,15559,1050,14.851116206220528,T cells
cell_00030,12857,997,8.439813708095212,T cells
cell_00031,11400,978,13.741164612431744,T cells
cell_00032,18293,1077,7.381931677584201,T cells
cell_00033,9923,926,35.54431314996861,T cells
cell_00034,12293,1016,13.144459249941425,T cells
cell_00035,16205,1056,5.275955798977333,T cells
cell_00036,9037,916,6.569608412219129,T cells
cell_00037,10553,982,11.261424495935678,T cells
cell_00038,10233,966,8.682710619327924,T cells
cell_00039,17058,1036,9.088020310251071,T cells
cell_00040,16874,1024,12.746853387561396,T cells
cell_00041,20132,1058,11.516338673122988,T cells
cell_00042,11389,980,8.008142758728116,T cells
cell_00043,15316,1040,5.192021083429894,T cells
cell_00044,9371,952,27.88365363223233,T cells
