cluster,names,scores,logfoldchanges,pvals,pvals_adj
0,LDHB,32.68777,2.7674403,2.3301868600564166e-234,3.1821031760930427e-230
0,RPS12,32.35895,1.0526488,1.038226836291026e-229,7.089012838195125e-226
0,RPS25,30.379032,1.1740315,1.0395487821366217e-202,2.839215633771541e-199
0,RPS27,29.372377,1.0214791,1.23778840526678e-189,2.1129048077903934e-186
0,RPS3,29.355707,0.88746125,2.02057573112748e-189,3.0658869093640964e-186
1,CD74,28.902664,4.085572,1.1053491176225646e-183,1.5094647550253742e-179
1,CD79A,27.83791,7.7512603,1.508913885066993e-170,1.0302864007237427e-166
1,HLA-DRA,27.54514,4.888994,5.060360841932069e-167,2.303476255247478e-163
1,CD79B,26.469564,5.521688,2.1726719357376222e-154,7.417501988608243e-151
1,HLA-DPB1,25.795908,4.047196,9.856019186069571e-147,2.6918759600993213e-143
2,FTL,38.012993,3.8105586,0.0,0.0
2,FTH1,37.588318,3.2273333,3.335945318110745e-309,2.277783463206017e-305
2,TYROBP,37.206074,6.2023044,5.4429670559712147e-303,2.477638603878097e-299
2,CST3,36.69213,6.534248,9.749953947792283e-295,3.328634277776285e-291
2,LYZ,36.589146,5.8696404,4.256080342669478e-293,1.1624206631898878e-289
3,SDPR,5.9852033,12.051648,2.161195729262938e-09,1.8436077497292529e-06
3,GNG11,5.9852033,12.620771,2.161195729262938e-09,1.8436077497292529e-06
3,HIST1H2AC,5.9848237,9.920759,2.1662455386826256e-09,1.8436077497292529e-06
3,PF4,5.9844437,12.831742,2.1713068416220135e-09,1.8436077497292529e-06
3,PPBP,5.9840636,13.120371,2.1763796635086636e-09,1.8436077497292529e-06
4,NKG7,31.839813,7.262942,1.8212734572119382e-222,2.4871310331686227e-218
4,CST7,27.811749,6.343034,3.1275247425949483e-170,2.1354738942438308e-166
4,GZMA,27.287912,6.104424,5.9021313077518685e-164,2.6866501712886507e-160
4,CTSW,27.0258,4.704274,7.354323138889224e-161,2.510765919616781e-157
4,B2M,26.569416,0.9816362,1.5323702126017987e-155,4.185209524658033e-152
5,HLA-DPA1,9.400325,4.2783146,5.439476887230527e-21,5.194548395338503e-17
5,HLA-DPB1,9.364963,4.434848,7.607715868978475e-21,5.194548395338503e-17
5,HLA-DRA,9.059811,4.608553,1.3067679399654167e-19,5.948407662722577e-16
5,HLA-DRB1,9.020483,4.237395,1.8726221010609913e-19,6.393131853022224e-16
5,CD74,8.894567,3.6391468,5.864784292935953e-19,1.3388029605135733e-15
